customer_id,age,income,employment_length,employment_type,credit_score,existing_cc_count,avg_monthly_spend,spend_groceries,spend_travel,spend_online,spend_utilities,spend_entertainment,tenure_months,late_payments_12m,current_limit,utilization_rate,has_mortgage,has_auto_loan,region,approved,true_limit
C00000,59,57000000,28,Công chức,718,1,28735830,0.06326128917837746,0.2051533871449907,0.33914509594457437,0.3734747837241982,0.018965444007859333,58,0,116328085,0.3338645002777222,0,1,Hà Nội,1,190988000
C00001,64,60000000,2,Kỹ sư CNTT,650,2,22193880,0.13458551263345242,0.1237804731353258,0.13282742427084632,0.10529314871538552,0.5035134412449899,2,1,96191493,0.4176832521328519,0,0,TP.HCM,0,163800000
C00002,51,53000000,14,Nhân viên văn phòng,671,1,4630708,0.17890550462342936,0.6903162170089168,0.0172592963676408,0.0782553335423121,0.035263648457701094,123,1,59583876,0.2734197736793275,0,0,TP.HCM,1,149364600
C00003,44,42000000,34,Công chức,696,1,16881728,0.3030732625317693,0.24907042522538966,0.154470584327142,0.1980332962839515,0.09535243163174742,52,1,13331068,0.3537290220603141,1,0,Hải Phòng,1,122774400
C00004,42,33000000,1,Công chức,577,0,16643995,0.416924831065509,0.035563893679873546,0.16537464233019256,0.3672959061540924,0.014840726770332532,116,0,182094412,0.3644167956258673,0,0,Hải Phòng,1,88858000
C00005,35,64000000,31,Tự doanh,663,2,15022704,0.0779993282909876,0.206437645296781,0.0504323657180493,0.6613808532726718,0.003749807421510251,126,1,95447809,0.0074112972794213895,0,0,Hà Nội,1,178214400
C00006,58,29000000,4,Công chức,778,1,32827104,0.444756662201175,0.09258084837389396,0.23863521970314458,0.019711635138322876,0.2043156345834637,128,0,86241446,0.3231831107205,1,1,Hà Nội,1,105289333
C00007,36,95000000,1,Nhân viên văn phòng,618,4,25448674,0.3112215199230457,0.07048273103003405,0.18820328760854174,0.23404866764426088,0.19604379379411765,112,0,177381501,0.1671777661730531,1,0,TP.HCM,1,273980000
C00008,34,26000000,19,Freelancer,774,1,39856186,0.10904890198012847,0.06228506366988626,0.39797507707417706,0.27748025096747,0.15321070630833825,61,0,142166290,0.19615780941059804,1,0,Hải Phòng,0,93912000
C00009,49,118000000,30,Công chức,693,2,16650271,0.1647930799663306,0.1793281283696801,0.426073235848462,0.2132770960634478,0.01652845975207947,127,2,88725274,0.16753403978032186,0,0,Hải Phòng,1,300000000
C00010,46,104000000,24,Nhân viên văn phòng,628,0,14431395,0.2852035968295101,0.21528469817196125,0.4291895159451719,0.0555011619627363,0.01482102709062046,63,0,166943484,0.35920754097459096,0,0,Hải Phòng,1,300000000
C00011,28,58000000,4,Tự doanh,721,2,23921117,0.4786444290503247,0.33297906689030465,0.14316038361571623,0.02266366993101128,0.02255245051264286,117,0,88911293,0.231586652184423,0,0,TP.HCM,1,195150666
C00012,45,109000000,0,Tự doanh,828,1,12292658,0.6710590918141338,0.003637138625936339,0.16655773526896098,0.12226300412229037,0.03648303016867845,10,0,60018037,0.5033919594121297,0,1,Hải Phòng,1,300000000
C00013,24,21000000,23,Kỹ sư CNTT,647,5,13438459,0.34521187889609223,0.2374821653745186,0.1541042111755135,0.20138978750213904,0.06181195705173663,35,0,113312086,0.2359736630045941,1,0,Hà Nội,1,63406000
C00014,31,34000000,24,Nhân viên văn phòng,635,0,4640328,0.47433059571473835,0.1700373910831589,0.0814296041354895,0.13066925931397327,0.14353314975263992,23,1,29511512,0.23223409078021884,0,0,Cần Thơ,1,90678000
C00015,56,17000000,18,Kỹ sư CNTT,522,0,31264326,0.3322790650468523,0.17604498737050076,0.29556013698665956,0.013078307400016302,0.18303750319597112,57,2,133291756,0.16595176074050152,0,1,Đà Nẵng,1,37270800
C00016,58,12000000,12,Nhân viên văn phòng,644,1,30830884,0.07359515400192766,0.2796122668408455,0.37432411247766884,0.09154733762544924,0.1809211290541088,90,1,86246546,0.22397442157940725,0,0,TP.HCM,1,32457600
C00017,61,44000000,0,Kỹ sư CNTT,679,1,43222648,0.25408271777547126,0.32438012761467816,0.3773509338364686,0.00517265017583215,0.03901357059754995,20,0,65553464,0.49923018254562296,0,0,Hà Nội,0,139421333
C00018,31,17000000,9,Công chức,833,0,4667867,0.32234517548428443,0.32115791617302636,0.21939936066466326,0.12267554344931485,0.01442200422871108,46,0,68842658,0.2011875800766566,1,0,Cần Thơ,1,66084666
C00019,53,70000000,17,Công chức,808,1,3635156,0.13790196444548983,0.18726367550344436,0.6693586385680164,0.003588047602545967,0.0018876738805037115,95,1,173920642,0.4106887049700367,0,0,Đà Nẵng,1,237552000
C00020,33,9000000,0,Kỹ sư CNTT,754,1,22112033,0.4447087584971697,0.21114876518331582,0.2448857564168781,0.005718345993105463,0.09353837390953111,85,0,71681549,0.18052046573068783,0,0,Hải Phòng,1,31668000
C00021,47,56000000,33,Kỹ sư CNTT,656,1,12320855,0.16858319259165327,0.22286495136165382,0.27313955857577543,0.08098400773467992,0.2544282897362376,6,0,159951937,0.553809793720375,0,0,Hà Nội,1,171434666
C00022,36,13000000,3,Tự doanh,644,2,3910705,0.2015114813194921,0.14351492501811144,0.27044023358295155,0.0076065914174592505,0.3769267686619858,78,1,85589337,0.4507589710260511,1,0,Hải Phòng,1,35162400
C00023,21,13000000,34,Công chức,694,0,28733262,0.3903124799853537,0.2463136552988739,0.16096744027148022,0.18158206719510808,0.020824357249184085,107,1,147926382,0.1810305044085109,0,0,Cần Thơ,0,37892400
C00024,42,95000000,24,Công chức,695,2,39775470,0.22349462012245033,0.12165331467877886,0.42065101412503675,0.02920094168556354,0.2050001093881706,59,0,86658629,0.4632073818411257,0,0,Hải Phòng,1,300000000
C00025,50,100000000,23,Kỹ sư CNTT,663,1,40166770,0.24585562073023032,0.4020465558062597,0.10988892895069786,0.11550684328732468,0.1267020512254874,44,0,85495044,0.22393743395418234,0,0,Hải Phòng,1,300000000
C00026,58,42000000,10,Kỹ sư CNTT,666,1,6909047,0.4403936143420871,0.01637149185653553,0.10461561087399365,0.3023035903551201,0.13631569257226353,49,0,174185668,0.31939542614772765,0,0,Hải Phòng,1,130536000
C00027,49,77000000,10,Nhân viên văn phòng,686,1,33808285,0.1702071579667013,0.22763260021130413,0.3099456233212003,0.055728565165990736,0.23648605333480366,32,1,118146354,0.17821165336890424,0,0,Hà Nội,1,221852400
C00028,60,109000000,5,Công chức,691,1,17586926,0.3640691752805722,0.14644478751772277,0.20115419474230553,0.04629019031068168,0.24204165214871795,10,0,17583354,0.25468948627745813,0,0,TP.HCM,1,300000000
C00029,28,10000000,28,Kỹ sư CNTT,613,0,17043403,0.27205635549466556,0.07592763505266786,0.36376622628249144,0.2714451354513617,0.016804647718813542,107,0,131768331,0.22289443032283432,0,1,Hà Nội,0,28606666
C00030,57,77000000,27,Nhân viên văn phòng,635,0,17863509,0.28451260927610533,0.038060428841274974,0.11733743282423575,0.4721955640475347,0.0878939650108492,53,1,107483912,0.13851612804551777,0,1,Hà Nội,0,205359000
C00031,27,87000000,26,Tự doanh,772,2,29915002,0.2793917765647849,0.1647112494850091,0.19319620599321685,0.09097223702312132,0.27172853093386773,81,1,111233747,0.7191430469828366,0,0,Đà Nẵng,1,282088800
C00032,50,92000000,18,Tự doanh,648,1,38248719,0.025216443820223478,0.03593422665417919,0.34381854294103503,0.2147763210846699,0.3802544654998925,55,0,47003110,0.38986053151073746,1,1,Đà Nẵng,1,278208000
C00033,27,98000000,7,Nhân viên văn phòng,659,0,15839094,0.1627365147950391,0.28475715029880294,0.1278472417381888,0.20011591006457982,0.22454318310338928,88,1,159322829,0.36439831156520974,0,0,Đà Nẵng,1,271244400
C00034,38,12000000,9,Kỹ sư CNTT,563,2,42473321,0.3349716249337558,0.03514554067242259,0.19513790669420156,0.1402614211568576,0.29448350654276245,120,0,93976173,0.14597703256033523,0,0,TP.HCM,1,31528000
C00035,29,27000000,3,Kỹ sư CNTT,586,0,44723356,0.14025752634559166,0.5102263101043765,0.06754876213958791,0.13508015042303814,0.14688725098740588,87,1,199316724,0.31615816336352354,1,0,Hà Nội,1,66452400
C00036,22,59000000,0,Freelancer,693,0,40457098,0.11897823316772865,0.09938912627882986,0.05396211486482063,0.10432485802876482,0.623345667659856,36,0,181123438,0.4378804871179035,0,0,TP.HCM,1,190806000
C00037,29,78000000,16,Freelancer,688,1,21482215,0.05662298625071997,0.5570763807529034,0.18891918017878614,0.06924574001101899,0.12813571280657157,17,1,64706505,0.1439638386007562,1,0,TP.HCM,1,225388800
C00038,57,85000000,5,Nhân viên văn phòng,774,0,37119150,0.5604150291653403,0.18641050593834335,0.0049598960449603975,0.2291412452209725,0.01907332363038353,116,1,147651110,0.09524148673537429,0,0,Cần Thơ,1,276318000
C00039,23,42000000,25,Tự doanh,703,1,13984398,0.21173883557226866,0.20744307918145538,0.4506622433035643,0.05977099421174326,0.07038484773096836,13,2,134284044,0.33374991242177904,0,0,Đà Nẵng,1,124009200
C00040,64,62000000,15,Freelancer,648,2,6720642,0.6449959688508142,0.06410204891837391,0.24783070661746748,0.037257198272819175,0.005814077340525224,37,0,166100668,0.30798567040380215,0,1,TP.HCM,0,187488000
C00041,27,57000000,3,Kỹ sư CNTT,683,0,24470291,0.10148931266812417,0.017972031915196567,0.21727777655862562,0.45029261727148306,0.2129682615865705,9,0,159353491,0.49086768696505373,1,0,Hà Nội,1,181678000
C00042,45,78000000,3,Nhân viên văn phòng,621,1,21391451,0.4452918809651982,0.014930642272132678,0.470101602597777,0.06874633562884473,0.0009295385360475177,37,0,150373307,0.14902141856954013,0,0,Hà Nội,1,226044000
C00043,53,11000000,23,Kỹ sư CNTT,682,4,40175082,0.34109394505236496,0.47121979784311147,0.08894232029388445,0.09811132113694408,0.0006326156736949326,39,0,163587614,0.09360318595881567,0,0,Cần Thơ,1,35009333
C00044,54,65000000,23,Kỹ sư CNTT,664,0,14037574,0.16578014903229066,0.3949314572597044,0.3054490305166321,0.006948787355048339,0.12689057583632438,17,0,100126859,0.14887127054374893,0,1,Hà Nội,0,201413333
C00045,49,81000000,34,Nhân viên văn phòng,747,1,15426716,0.5349886820592699,0.08298822220158665,0.11341523345455437,0.05936017100955544,0.20924769127503395,130,0,108023086,0.27565900088481815,0,0,Hải Phòng,0,282366000
C00046,36,106000000,19,Kỹ sư CNTT,573,3,44862524,0.11884366485720721,0.4242219946782713,0.29809989490792316,0.12182620608418566,0.03700823947241265,27,0,148655405,0.4184088021469478,0,0,TP.HCM,1,283444000
C00047,27,22000000,19,Tự doanh,662,1,33007736,0.4634608901700482,0.2409968950512501,0.0624080051555711,0.11963641423641069,0.11349779538671964,11,1,42134444,0.2277301871546992,0,0,Cần Thơ,1,61168800
C00048,42,97000000,19,Tự doanh,762,1,14851424,0.24851518676209097,0.18227677772665882,0.09653035742254053,0.3996414646917917,0.07303621339691792,61,0,91500098,0.10997432835815392,0,1,TP.HCM,0,300000000
C00049,48,67000000,19,Kỹ sư CNTT,776,1,10546310,0.2413110509348602,0.1828706106671917,0.5153104756968245,0.0021861696600557036,0.05832169304106792,12,0,158368268,0.5966367034936951,0,1,TP.HCM,1,242629333
C00050,52,56000000,17,Nhân viên văn phòng,715,1,37876898,0.009250119609461921,0.07613615369687106,0.19633869135945836,0.4665557423616206,0.251719292972588,126,1,30808635,0.1596432268784448,0,0,Hải Phòng,0,168168000
C00051,54,41000000,5,Freelancer,753,2,34371979,0.11351068942995615,0.05257326786624735,0.6853172232488054,0.06116977897946071,0.08742904047553035,60,0,138938364,0.16531569489671075,0,0,Đà Nẵng,0,144074000
C00052,22,40000000,4,Freelancer,696,1,27227191,0.051922987832556645,0.5280957530738971,0.10977922313299385,0.06440870200464835,0.24579333395590397,8,0,57602635,0.10277790651588505,0,0,Cần Thơ,1,129920000
C00053,64,61000000,27,Freelancer,692,1,11955661,0.6095364551742789,0.16589064660424316,0.1643358402717969,0.05384301517758232,0.006394042772098608,43,2,84645629,0.07455836698083929,0,0,Cần Thơ,1,177290400
C00054,40,28000000,15,Kỹ sư CNTT,704,2,5646804,0.192017748297297,0.2608134945273798,0.05034243496537177,0.12316188404521546,0.37366443816473605,26,0,44831079,0.15875093515446442,0,1,TP.HCM,1,91989333
C00055,25,110000000,25,Nhân viên văn phòng,610,1,32338208,0.1195569495006161,0.32484915633922884,0.19433305938992324,0.30998057874783325,0.05128025602239854,82,1,22417420,0.3151425325460642,0,0,Hải Phòng,1,281820000
C00056,32,76000000,14,Tự doanh,661,1,13748768,0.2721060370073021,0.03426399499147523,0.05693738261145563,0.3973898844099911,0.2393027009797759,48,1,158895169,0.1694332703796275,0,0,Hà Nội,1,210991200
C00057,35,48000000,22,Công chức,721,1,37553686,0.4362397610301723,0.420980427519823,0.030567241194536653,0.08650821376236212,0.025704356493105825,27,0,148556571,0.35720922640412284,0,0,Hà Nội,1,161504000
C00058,31,12000000,30,Nhân viên văn phòng,570,2,22668329,0.1477085710337704,0.14252930018219914,0.22375226089763048,0.24304626077302657,0.24296360711337345,122,1,127515900,0.23155624405179284,0,0,TP.HCM,0,28728000
C00059,59,79000000,24,Tự doanh,696,1,5696176,0.10838393477238663,0.4225840300373145,0.1500661660927184,0.17190254045506417,0.1470633286425163,2,0,115399615,0.2753006881502286,0,0,Hải Phòng,0,256592000
C00060,39,73000000,25,Công chức,794,2,34355047,0.3043712737912481,0.04859564673753631,0.38752280143802104,0.07910907959973511,0.18040119843345948,8,0,31814501,0.3816082894550377,0,0,Cần Thơ,1,270489333
C00061,58,86000000,34,Tự doanh,661,0,21328547,0.5191943539532653,0.08458306576254247,0.27092025002642295,0.03681437217900615,0.08848795807876325,115,0,127750887,0.10090977109222914,0,0,Hải Phòng,1,265281333
C00062,36,81000000,33,Tự doanh,632,1,22101880,0.1526780093276837,0.18412489283335481,0.09688767082219235,0.26750701981144986,0.2988024072053192,12,1,105257136,0.030219799221776988,1,1,Hải Phòng,1,215006400
C00063,34,78000000,14,Kỹ sư CNTT,761,1,34002177,0.31573879796384874,0.09732106850666489,0.146645013705037,0.10709106072275906,0.3332040591016902,134,0,101800600,0.11288411116135985,0,0,Hải Phòng,1,277004000
C00064,52,97000000,12,Công chức,730,0,10859690,0.20209192120517055,0.28770198629974636,0.1870071987823626,0.26418675950447096,0.05901213420824945,115,0,30020303,0.3044513201367543,0,0,Hà Nội,1,300000000
C00065,56,43000000,34,Freelancer,774,1,23526982,0.3956358288461624,0.0888445014395391,0.2951202614456278,0.0011794000389329813,0.21922000822973756,65,0,57246348,0.18699699086770002,0,1,Đà Nẵng,1,155316000
C00066,46,73000000,33,Kỹ sư CNTT,761,1,18541107,0.12006839495546683,0.12982303127495534,0.3041603639051949,0.3775554540032772,0.06839275586110585,21,0,64254875,0.10455843374764509,0,0,Hà Nội,1,259247333
C00067,39,74000000,31,Kỹ sư CNTT,700,2,31084871,0.2587155014484516,0.013264790050044757,0.09123896888700193,0.572421508415971,0.06435923119853086,135,0,155353202,0.1967805486859626,1,0,Cần Thơ,1,241733333
